level,id,parent_id,object_id,object_type,query_status,query_time,query_type,name,message,type,metadata.type,talking_about_count,likes,likes.count,shares.count,comments.count,created_time,updated_time
0,661,,100064713034849_pfbid0b8KrNp7HTY37Kxs2PpkypqfMDn6Q7QtMJTvfey1XAYH1x91HY98Qpj1GimMhp5Mvl,seed,,,,,,,,,,,,,,
1,662,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,señora ministra con el respeto que usted se merece por que si se supone que ecuador ya tiene los reactivos para detectar el coronavirus esto lo anunciaron como noticia de ultimo minuto en vez de tenernos con tanto rumor le hacen la prueba al señor y confirman o no el resultado con este tipo de comunicado si bien es cierto es oficial alteran mas a la poblacion por que los rumores que el señor ya murio son cada vez mas fuertes y eso es peor,,,,,,,,2020-01-31T20:55:18+0000,
1,663,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,seria bueno que desmientan esto entonces porque esta empezando a circular por las redes esta imagen,,,,,,,,2020-01-31T20:09:49+0000,
1,664,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,ya pues señora ministra ya tiene los reactivos ahora cual es la excusa dejeme adivinar no sabe como usarlo,,,,,,,,2020-01-31T19:56:27+0000,
1,665,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,que paso con los resultados del paciente,,,,,,,,2020-01-31T19:52:33+0000,
1,666,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,honestamente y tristemente a muchos no les interesa como vaya el paciente hora con hora pero el resultado es prioridad en estos momentos marean mucho la perdiz,,,,,,,,2020-01-31T19:56:47+0000,
1,667,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,ya mismo le hacen la misadelos dias y usteds siguen con la mentira,,,,,,,,2020-01-31T19:50:15+0000,
1,668,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,hasta cuando es sospechoso hasta cuando se muera no es normal que pase mas de una semana uno con una triste gripe o tos pero para ustedes sigue siendo sospechoso,,,,,,,,2020-01-31T20:01:07+0000,
1,669,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,ya aburren con lo mismo den informaciondeq es o no es portador del virus ya parecen programa de tv haciendo suspenso,,,,,,,,2020-01-31T19:53:17+0000,
1,670,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,les comento que estan despidiendo mucha gente del sector publico,,,,,,,,2020-01-31T19:55:31+0000,
1,671,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,porque hasta la fecha no podemos tener una digna o digno representante como ministro de salustedesta cartera de estado va de mal en peor,,,,,,,,2020-01-31T20:58:55+0000,
1,672,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,esta pobre persona no tendoctora familia que se pronuncie al respecto o es que los protegen para que no los indaguen es inconcebible que seamos el primer pais latinoamericano en recibir los famosos medios para detectar el virus y que aun digan que no hay resultados del caso indignante,,,,,,,,2020-01-31T20:11:58+0000,
1,673,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,lo mejor que pueden hacer en lugar de estar esperando un resultado esque tomen medidas desde ahora digo tomen medidas de bioseguridad ustedes como ciustedadanos no esperarqueel gobierno les diga que hacer muy mal acostumbrados estamos,,,,,,,,2020-01-31T20:50:21+0000,
1,674,661,,data,fetched (200),2022-08-21 22:04:37.273000,Facebook:<post>/comments,,risa llegan los reactivos mas rapido que los resultados mejor que regresen las muestras y les hacemos aqui pero eso si cogian turno,,,,,,,,2020-01-31T20:06:15+0000,
